read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_LT635457.1,30,root,30,Bacteria,30,Actinomycetota,30,Actinomycetes,30,Actinomycetales,30,Actinomycetaceae,30,Actinomyces,30,Actinomyces pacaensis,30
NZ_CP033459.1,3049,root,3049,Bacteria,3049,Bacteroidota,3049,Bacteroidia,3048,Bacteroidales,3048,Prevotellaceae,3047,Pseudoprevotella,3043,Pseudoprevotella muciniphila,3043
CAKAFU010000002.1,31,root,7,Bacteria,7,Bacteroidota,4,Bacteroidia,4,Bacteroidales,4,Prevotellaceae,4,Alloprevotella,0,Alloprevotella tannerae,0
NZ_CP036550.1,5460,root,5460,Bacteria,5460,Bacteroidota,5460,Bacteroidia,5426,Bacteroidales,5426,Bacteroidaceae,5315,Bacteroides,5287,Bacteroides fragilis,5117
NZ_CP012544.1,2724,root,2722,Bacteria,2722,Campylobacterota,2722,Epsilonproteobacteria,2722,Campylobacterales,2722,Campylobacteraceae,2722,Campylobacter,2722,Campylobacter showae,2699
NZ_CP049272.1,123,root,123,Bacteria,123,Campylobacterota,123,Epsilonproteobacteria,123,Campylobacterales,123,Campylobacteraceae,123,Campylobacter,123,Campylobacter concisus,123
NZ_CP022386.1,729,root,729,Bacteria,729,Bacteroidota,729,Flavobacteriia,728,Flavobacteriales,728,Flavobacteriaceae,728,Capnocytophaga,726,Capnocytophaga gingivalis,716
NZ_CP022384.1,408,root,407,Bacteria,407,Bacteroidota,407,Flavobacteriia,407,Flavobacteriales,407,Flavobacteriaceae,407,Capnocytophaga,405,Capnocytophaga leadbetteri,364
NZ_CP022379.1,11034,root,11014,Bacteria,11012,Bacteroidota,11011,Flavobacteriia,11005,Flavobacteriales,11005,Flavobacteriaceae,10988,Capnocytophaga,10987,Capnocytophaga sputigena,10554
ACIL03000013.1,30,root,2,Bacteria,2,Bacillota,1,Clostridia,0,Eubacteriales,0,Lachnospiraceae,0,Catonella,0,Catonella morbi,0
